Date and Time (UTC), Unix Timestamp (UTC), ID, Data, Protocol, SNR, Receiver
2023-06-15T13:44:12.394Z,1686836652.394,36,4,S256-69kHz,17,000632
2023-06-15T13:44:12.346Z,1686836652.346,36,4,S256-69kHz,49,000022
2023-06-15T13:44:02.349Z,1686836642.349,36,4,S256-69kHz,51,000022
2023-06-15T13:43:52.395Z,1686836632.395,36,4,S256-69kHz,19,000632
2023-06-15T13:43:52.348Z,1686836632.348,36,4,S256-69kHz,50,000022
2023-06-15T13:43:52.348Z,1686836632.348,36,4,S256-71kHz,16,000022
2023-06-15T13:43:52.348Z,1686836632.348,36,4,S256-67kHz,14,000022
2023-06-15T13:43:42.395Z,1686836622.395,36,4,S256-69kHz,18,000632
2023-06-15T13:43:42.349Z,1686836622.349,36,4,S256-69kHz,45,000022
2023-06-15T13:43:42.349Z,1686836622.349,36,4,S256-71kHz,19,000022
2023-06-15T13:43:42.349Z,1686836622.349,36,4,S256-67kHz,16,000022
2023-06-15T13:43:32.393Z,1686836612.393,36,4,S256-69kHz,17,000632
2023-06-15T13:43:32.388Z,1686836612.388,36,4,S256-69kHz,16,000047
2023-06-15T13:43:32.348Z,1686836612.348,36,4,S256-69kHz,48,000022
2023-06-15T13:43:32.348Z,1686836612.348,36,4,S256-71kHz,18,000022
2023-06-15T13:43:32.348Z,1686836612.348,36,4,S256-67kHz,16,000022
2023-06-15T13:43:22.397Z,1686836602.397,36,4,S256-69kHz,19,000632
2023-06-15T13:43:22.349Z,1686836602.349,36,4,S256-69kHz,50,000022
2023-06-15T13:43:12.392Z,1686836592.392,36,4,S256-69kHz,25,000632
2023-06-15T13:43:12.387Z,1686836592.387,36,4,S256-69kHz,10,000047
2023-06-15T13:43:12.349Z,1686836592.349,36,4,S256-69kHz,50,000022
2023-06-15T13:43:12.349Z,1686836592.349,36,4,S256-71kHz,22,000022
2023-06-15T13:43:12.349Z,1686836592.349,36,4,S256-67kHz,18,000022
2023-06-15T13:43:02.349Z,1686836582.349,36,6,S256-69kHz,49,000022
2023-06-15T13:42:42.392Z,1686836562.392,36,8,S256-69kHz,22,000632
2023-06-15T13:42:42.349Z,1686836562.349,36,8,S256-71kHz,19,000022
2023-06-15T13:42:42.348Z,1686836562.348,36,8,S256-69kHz,50,000022
2023-06-15T13:42:42.348Z,1686836562.348,36,8,S256-67kHz,18,000022
2023-06-15T13:42:32.393Z,1686836552.393,36,8,S256-69kHz,20,000632
2023-06-15T13:42:32.349Z,1686836552.349,36,8,S256-69kHz,47,000022
2023-06-15T13:42:32.349Z,1686836552.349,36,8,S256-71kHz,19,000022
2023-06-15T13:42:32.349Z,1686836552.349,36,8,S256-67kHz,16,000022
2023-06-15T13:42:22.391Z,1686836542.391,36,8,S256-69kHz,23,000632
2023-06-15T13:42:22.386Z,1686836542.386,36,8,S256-69kHz,15,000047
2023-06-15T13:42:22.348Z,1686836542.348,36,8,S256-69kHz,48,000022
2023-06-15T13:42:22.348Z,1686836542.348,36,8,S256-71kHz,22,000022
2023-06-15T13:42:22.348Z,1686836542.348,36,8,S256-67kHz,16,000022
2023-06-15T13:42:12.391Z,1686836532.391,36,8,S256-69kHz,24,000632
2023-06-15T13:42:12.385Z,1686836532.385,36,8,S256-69kHz,13,000047
2023-06-15T13:42:12.348Z,1686836532.348,36,8,S256-69kHz,44,000022
2023-06-15T13:42:12.348Z,1686836532.348,36,8,S256-71kHz,22,000022
2023-06-15T13:42:12.348Z,1686836532.348,36,8,S256-67kHz,15,000022
2023-06-15T13:42:02.392Z,1686836522.392,36,8,S256-69kHz,27,000632
2023-06-15T13:42:02.387Z,1686836522.387,36,8,S256-69kHz,18,000047
2023-06-15T13:42:02.348Z,1686836522.348,36,8,S256-69kHz,49,000022
2023-06-15T13:42:02.348Z,1686836522.348,36,8,S256-71kHz,24,000022
2023-06-15T13:42:02.348Z,1686836522.348,36,8,S256-67kHz,14,000022
2023-06-15T13:41:52.392Z,1686836512.392,36,8,S256-69kHz,24,000632
2023-06-15T13:41:52.385Z,1686836512.385,36,8,S256-69kHz,13,000047
2023-06-15T13:41:52.349Z,1686836512.349,36,8,S256-69kHz,48,000022
2023-06-15T13:41:52.349Z,1686836512.349,36,8,S256-71kHz,21,000022
2023-06-15T13:41:52.349Z,1686836512.349,36,8,S256-67kHz,17,000022
2023-06-15T13:41:42.391Z,1686836502.391,36,8,S256-69kHz,25,000632
2023-06-15T13:41:42.387Z,1686836502.387,36,8,S256-69kHz,13,000047
2023-06-15T13:41:42.348Z,1686836502.348,36,8,S256-69kHz,46,000022
2023-06-15T13:41:42.348Z,1686836502.348,36,8,S256-71kHz,20,000022
2023-06-15T13:41:42.348Z,1686836502.348,36,8,S256-67kHz,16,000022
2023-06-15T13:41:32.391Z,1686836492.391,36,8,S256-69kHz,26,000632
2023-06-15T13:41:32.390Z,1686836492.390,36,8,S256-69kHz,14,000047
2023-06-15T13:41:32.349Z,1686836492.349,36,8,S256-69kHz,47,000022
2023-06-15T13:41:32.349Z,1686836492.349,36,8,S256-67kHz,14,000022
2023-06-15T13:41:32.348Z,1686836492.348,36,8,S256-71kHz,23,000022
2023-06-15T13:41:22.392Z,1686836482.392,36,8,S256-69kHz,30,000632
2023-06-15T13:41:22.349Z,1686836482.349,36,8,S256-69kHz,48,000022
2023-06-15T13:41:22.349Z,1686836482.349,36,8,S256-71kHz,24,000022
2023-06-15T13:41:22.349Z,1686836482.349,36,8,S256-67kHz,17,000022
2023-06-15T13:41:12.392Z,1686836472.392,36,8,S256-69kHz,30,000632
2023-06-15T13:41:12.388Z,1686836472.388,36,8,S256-69kHz,15,000047
2023-06-15T13:41:12.349Z,1686836472.349,36,8,S256-67kHz,16,000022
2023-06-15T13:41:12.348Z,1686836472.348,36,8,S256-69kHz,50,000022
2023-06-15T13:41:12.348Z,1686836472.348,36,8,S256-71kHz,19,000022
2023-06-15T13:41:02.391Z,1686836462.391,36,8,S256-69kHz,29,000632
2023-06-15T13:41:02.387Z,1686836462.387,36,8,S256-69kHz,13,000047
2023-06-15T13:41:02.349Z,1686836462.349,36,8,S256-69kHz,47,000022
2023-06-15T13:41:02.349Z,1686836462.349,36,8,S256-71kHz,23,000022
2023-06-15T13:41:02.349Z,1686836462.349,36,8,S256-67kHz,17,000022
2023-06-15T13:40:52.391Z,1686836452.391,36,8,S256-69kHz,26,000632
2023-06-15T13:40:52.385Z,1686836452.385,36,8,S256-69kHz,15,000047
2023-06-15T13:40:52.349Z,1686836452.349,36,8,S256-67kHz,17,000022
2023-06-15T13:40:52.348Z,1686836452.348,36,8,S256-69kHz,49,000022
2023-06-15T13:40:52.348Z,1686836452.348,36,8,S256-71kHz,26,000022
2023-06-15T13:40:42.391Z,1686836442.391,36,8,S256-69kHz,29,000632
2023-06-15T13:40:42.349Z,1686836442.349,36,8,S256-69kHz,47,000022
2023-06-15T13:40:42.349Z,1686836442.349,36,8,S256-71kHz,23,000022
2023-06-15T13:40:32.392Z,1686836432.392,36,8,S256-69kHz,31,000632
2023-06-15T13:40:32.348Z,1686836432.348,36,8,S256-69kHz,49,000022
2023-06-15T13:40:32.348Z,1686836432.348,36,8,S256-71kHz,26,000022
2023-06-15T13:40:32.348Z,1686836432.348,36,8,S256-67kHz,13,000022
2023-06-15T13:40:22.391Z,1686836422.391,36,8,S256-69kHz,32,000632
2023-06-15T13:40:22.386Z,1686836422.386,36,8,S256-69kHz,12,000047
2023-06-15T13:40:22.349Z,1686836422.349,36,8,S256-69kHz,52,000022
2023-06-15T13:40:22.349Z,1686836422.349,36,8,S256-71kHz,21,000022
2023-06-15T13:40:22.349Z,1686836422.349,36,8,S256-67kHz,15,000022
2023-06-15T13:40:12.390Z,1686836412.390,36,8,S256-69kHz,30,000632
2023-06-15T13:40:12.348Z,1686836412.348,36,8,S256-69kHz,53,000022
2023-06-15T13:40:12.348Z,1686836412.348,36,8,S256-71kHz,22,000022
2023-06-15T13:40:02.391Z,1686836402.391,36,8,S256-69kHz,33,000632
2023-06-15T13:40:02.349Z,1686836402.349,36,8,S256-69kHz,53,000022
2023-06-15T13:40:02.349Z,1686836402.349,36,8,S256-67kHz,17,000022
2023-06-15T13:39:52.391Z,1686836392.391,36,7,S256-69kHz,28,000632
2023-06-15T13:39:52.348Z,1686836392.348,36,7,S256-69kHz,50,000022
2023-06-15T13:39:52.348Z,1686836392.348,36,7,S256-71kHz,22,000022
2023-06-15T13:39:52.348Z,1686836392.348,36,7,S256-67kHz,15,000022
2023-06-15T13:39:42.391Z,1686836382.391,36,7,S256-69kHz,27,000632
2023-06-15T13:39:42.385Z,1686836382.385,36,7,S256-69kHz,18,000047
2023-06-15T13:39:42.349Z,1686836382.349,36,7,S256-69kHz,53,000022
2023-06-15T13:39:42.349Z,1686836382.349,36,7,S256-71kHz,23,000022
2023-06-15T13:39:42.349Z,1686836382.349,36,7,S256-67kHz,15,000022
